horizon,mse,rmse,mae,mape,mdape,smape,coverage
3 days,25201.925934172203,158.75114467043127,113.47809951687962,0.3914807381870065,0.28299269205627364,0.4010860318441396,0.5238095238095238
4 days,27975.686383059758,167.2593387020879,120.53240534376866,0.39576666264600807,0.28299269205627364,0.42021338357942445,0.47619047619047616
5 days,23572.85735054309,153.53454774265984,110.78846072601263,0.4077347564150097,0.29587236048709403,0.417375980202782,0.5238095238095238
6 days,13757.206790175322,117.29111982658927,85.65129420197039,0.3329524101840447,0.2597067487231146,0.3448321570021177,0.6666666666666666
7 days,8038.449187150524,89.65739895374237,69.61831814445465,0.29624641341017055,0.24703395667836112,0.2924262681918708,0.7142857142857143
8 days,5782.408773708734,76.04215129590123,58.86602357977125,0.23624758164091358,0.207217046423035,0.23393740803921861,0.7619047619047619
9 days,5696.693660374194,75.4764444073394,56.80777604958308,0.24651937424253556,0.2057073901538513,0.23846397993915697,0.7619047619047619
10 days,5238.867359354325,72.38002044317427,57.118269901545645,0.3100077519333143,0.16282184824394821,0.26999381568840614,0.7619047619047619
11 days,6707.722005817394,81.90068379334446,69.00303370068133,0.45674053333999254,0.29879933632468664,0.35282826045246324,0.5714285714285714
12 days,8262.909166168425,90.90054546683659,78.37264967014582,0.5565446968279127,0.39589401717316014,0.3977361782978257,0.42857142857142855
13 days,9451.668452770684,97.21969169242765,83.86000337440343,0.6420079544432343,0.3030159323271194,0.41949245544234076,0.38095238095238093
14 days,10260.695839710263,101.29509287083093,79.97413970562302,0.5540688378961767,0.24015179661896366,0.37217810206350177,0.47619047619047616
15 days,12397.472445540056,111.34393762365356,82.8586493482896,0.5439413996151251,0.24015179661896366,0.3654222320259868,0.5238095238095238
16 days,12011.23062233022,109.59576005635537,78.97921700674914,0.4657953533115728,0.1850646152458259,0.3270664118294625,0.5238095238095238
17 days,10091.347109133558,100.45569724576879,73.14957769799094,0.4171625849629597,0.22760706840088574,0.3000362488779576,0.5714285714285714
18 days,7731.615370900188,87.92960463291182,64.14942907161438,0.29916399285868733,0.20996922195275028,0.24464581361303783,0.6190476190476191
19 days,6431.006015863095,80.19355345576784,58.35247240014521,0.23437087689147648,0.19093664484936385,0.23019759823424457,0.7142857142857143
20 days,6010.642315535017,77.52833234073216,57.45407930247126,0.2851190564945476,0.1713685609159198,0.2507745710577641,0.7142857142857143
21 days,6438.449189958888,80.23994759444255,64.97525472557909,0.39605012579605464,0.1971574044232962,0.31648112069856826,0.6666666666666666
22 days,7187.014291060975,84.77626018562611,68.4664087524033,0.38313634512367567,0.24043203950049533,0.3212286892697903,0.6190476190476191
23 days,8051.219793679618,89.72858961155924,73.62317724610904,0.393254203530253,0.2567317596126988,0.3486975220052121,0.5238095238095238
24 days,8327.484430644203,91.25505153493808,75.4528540108568,0.39979887454354485,0.2661270702212046,0.35617848650614664,0.5238095238095238
25 days,9479.552645132237,97.36299422846565,82.53259971144652,0.5262128642183335,0.2944739422509486,0.4115550266928565,0.47619047619047616
26 days,10359.099070215041,101.7796594129448,88.54100732750534,0.6636278617724995,0.32052885320281105,0.4577634048416308,0.5714285714285714
27 days,10539.00731009173,102.65966739714156,89.91337624332056,0.7660854993063801,0.3275277194515352,0.4984124067284491,0.5714285714285714
28 days,10170.085437722048,100.84684148609736,86.44670547659224,0.7387504729701907,0.31961680845295765,0.4997336419508786,0.6190476190476191
29 days,8331.012765589674,91.27438175955876,71.61889692650561,0.6023670894443226,0.2054120505471156,0.4327785050215693,0.6190476190476191
30 days,6267.141103112324,79.1652771302692,58.449319384862875,0.45379385514559123,0.19239726236931615,0.3617790061340311,0.7142857142857143
